9/10/2020 data collected by Mark Richards and Steve Kolthammer,,,,,,,,,,,
Source,None,Na-22,Mn-54,Cs-137,Am-241,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137
Experiment type,Calibration,Calibration,Calibration,Calibration,Calibration,Scattering,Background,Scattering,Background,Scattering,Background
Angle (deg),N/A,N/A,N/A,N/A,N/A,20,20,30,30,45,45
Time (s),100,100,100,100,40,100,100,100,100,300,300
,,,,,,,,,,,
Bin,,,,Count,Count,Count,Count,Count,Count,Count,Count
121,2,46,16,345,3,8,3,6,6,15,7
122,2,41,14,315,3,6,8,4,3,18,16
123,3,49,20,305,4,4,6,4,1,19,16
124,2,46,11,293,2,6,10,9,4,15,9
125,2,36,12,345,1,9,8,2,3,20,5
126,1,46,10,290,2,11,7,6,2,15,7
127,3,42,11,301,2,8,10,5,2,14,4
128,2,36,13,321,1,5,6,8,1,16,11
129,1,31,6,278,3,9,8,9,4,11,9
130,1,48,15,285,3,10,8,6,4,23,7
131,3,43,17,287,3,7,9,6,1,25,10
132,3,41,7,246,3,4,5,7,3,25,11
133,5,50,10,261,3,3,9,4,3,24,10
134,4,43,10,281,6,9,9,5,4,15,6
135,5,48,9,253,1,7,5,4,8,25,13
136,2,50,13,225,1,11,5,7,4,30,6
137,5,58,10,244,7,3,5,4,2,20,13
138,6,85,7,207,1,3,7,5,3,33,11
139,2,87,4,169,7,7,8,3,3,21,9
140,4,93,4,208,0,6,5,9,2,30,5
141,3,107,6,178,3,7,7,5,2,22,5
142,2,129,8,164,2,9,2,6,2,19,10
143,0,126,10,144,4,7,6,6,3,21,8
144,3,174,13,164,1,1,8,5,3,27,13
145,1,223,12,169,5,9,5,5,7,31,10
146,1,248,6,156,0,4,6,7,4,13,11
147,1,235,11,164,2,5,8,5,3,20,6
148,2,266,10,146,8,4,6,5,5,11,6
149,2,273,6,150,3,4,8,7,3,20,8
150,0,274,10,132,1,5,3,6,3,26,12
151,3,275,10,112,0,7,2,16,1,28,11
152,3,301,16,143,1,5,3,9,5,10,8
153,5,243,10,131,2,4,5,13,3,11,8
154,3,229,10,123,1,9,4,11,4,16,16
155,1,216,12,126,2,3,4,10,3,12,10
156,0,144,10,120,2,6,4,6,2,10,7
157,4,134,14,127,5,4,4,7,1,15,8
158,6,116,14,135,4,9,2,6,5,10,12
159,3,93,5,137,3,8,9,12,4,13,16
